benefit - benefit
Company,welfare
富邦人壽保險股份有限公司_苗榮通訊處(連坤誌) (核准文號110A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
富邦人壽保險股份有限公司_邦和二通訊處(黃暐婷)(核准文號110A01號),行銷專員(含)以上職級享:1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制 度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動;2.富邦以照顧員工 權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等 福利措施。
台北醫學大學_事業發展處,
富邦人壽保險股份有限公司_高翔通訊處(胡姵俞)(核准文號110A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
宇瞻科技股份有限公司,"1. 薪酬福利：
(1)週休2日
(2)優於勞基法之休假天數
(3)三節禮券/獎金(依公司營運狀況而定)
(4)績效獎金(依公司營運狀況及單位&員工績效表現而定)
(5)員工酬勞(依公司營運狀況及單位&員工績效表現而定)
(6)年度晉升/調薪(依公司營運狀況及員工績效表現而定)
(7)團體保險&眷屬保險
2. 工作生活平衡：
(1)A+工作：彈性上下班(產線除外)，每月提供2次紓壓按摩
(2)A+家庭：生育獎勵最高36,000元，旅遊補助至少6,000元
(3)A+健康：每日提供3次健康餐食，每年提供免費健康檢查
3. 工作環境：
(1)交通便利(永寧捷運站2號出口步行5分鐘)
(2)多功能休閒設施24小時開放
(3)紓壓工作空間及休憩交誼餐廳
4. 職涯發展：
(1)宇瞻學苑課程，學習成長無極限 
(2)雙軌人才制度，職涯發展不受限
(3)鼓勵研發創新，發明獎勵等你拿

宇瞻更多數不盡的福利介紹與環境照片，請參閱宇瞻公司網站 https://www.apacer.com/Csr/Pages?slug=career"
崇友實業股份有限公司,"【薪津】
完善的薪資制度
營運績效月獎金
年節福利(端午,中秋)
員工酬勞
年終獎金
完善退休
退職制度
提案獎金
年終激勵獎金
優於勞基法之制度。 

【福利】
定期健康檢查
生日禮券
子女獎學金
勞、健保
勞退金
團體保險 
急難慰問補助
婚喪喜慶補助
員工旅遊
急難無息貸款
社團補助
尾牙與春酒活動
現場員工制服
專業證照費

【教育訓練】
新進人員教育訓練
職外管理及專業知識課程
在職訓練
證照輔導培訓方案

【其他】
退休人員回聘制度
專業護理人員之健康諮詢
"
新北市立聯合醫院,享勞健保、有獎勵金制度
邏輯電子股份有限公司,"法定項目：勞保、健保、週休二日、育嬰假、年假、員工紅利、勞退提撥金。
獎金類：全勤獎金、年節獎金、年終獎金、員工生日禮金。
保險類：員工公出特別保險。
補助類：員工結婚補助、生育補助、員工退休規劃(包括退休金及退休後之福利等)、員工及眷屬喪葬補助、旅遊補助。
其他：員工在職教育訓練、每月午茶日。"
宏正自動科技股份有限公司,"一、	獎金/禮金/禮品類 
ATEN 獲選為臺灣證券交易所評定之「臺灣高薪100指數」企業，且透過每年參與之業界薪資調查，確保薪酬與福利於人才市場持續保持競爭力。 
1.	具市場競爭力的優渥待遇 
2.	除每月固定薪資之外，我們提供豐富的變動性獎金，包含年終獎金、中秋/端午獎金、營運績效獎金/業績獎金、員工分紅 (根據個人工作績效及公司年度營運成果)
3.	專利獎金、資深員工獎金、推薦人才獎金
4.	生育補助：每一胎新台幣 10 萬元
5.	福委會相關：董事長親自頒送生日禮物給壽星、年節禮金、婚喪喜慶禮金/慰問金 

二、	保險/醫療類 
1.	享勞健保、退休金提撥
2.	團體保險：員工團保(免費壽險、意外傷害、意外醫療、住院醫療及癌症住院醫療等範疇)、眷屬/父母團險(由員工自行選擇加入) 
3.	出差及駐外同仁：旅行平安險、意外險、海外急難救助
4.	年度健康檢查 
5.	貼心提供「員工協助方案(Employee Assistance Programs, EAPs)」，包含心理、財稅、法律、健康等諮詢 
6.	醫師駐點健康諮詢、團保公司駐點服務 

三、	請假/休假制度 
1.	週休二日
2.	陪產假(優於勞動基準法之規定)
3.	產檢假(優於勞動基準法之規定，男女性同仁皆享有)
4.	全薪志工假
5.	公司活動補休假

四、	休閒活動類 
1.	家庭日、尾牙、春酒/聖誕餐會、資深員工表揚、退休員工歡送會
2.	國內外旅遊補助、特約商店、每月慶生下午茶 
3.	社團活動：志工社、籃球社、拳擊有氧社、慢跑社、烘豆社、健身社
4.	員工活動中心：員工健身房、三溫暖中心、撞球室、桌球室、圖書館、博物館、哺乳室 
5.	ATEN Baby 生育禮刊 

五、	學習進修類 
1.	新人教育訓練、產品訓練、E-learning數位平台 
2.	外訓進修費用補助、英文線上課程 
3.	各式講座：職場健康、創意思考、核心職能、情緒管理、管理技巧等 

六、	其他 
1.	午餐團膳：享受營養均衡的自助餐
2.	汽車停車位補助、機車停車位免費 
3.	銀行專員貼心駐點服務 
4.	到職當天獨一無二個人形象照識別證拍攝 
5.	夏季涼爽Polo衫、冬季保暖外套

ATEN 歡迎您加入。"
承展國際股份有限公司,"1. 週休二日.   
2. 享勞健保、勞退6%提撥.
3. 特休假 
4. 其他依勞基法/ 兩性工作平等法規定的相關假
5. 三節節金
6. 國內員工旅遊
6. 台灣正職員工試用期滿享團體保險 , 團險保費由公司全額負擔."
億光電子工業股份有限公司,"1.盈餘分紅及營業目標達成獎金。
2.勞健保及免費團體保險。
3.定期健康檢查與醫師駐廠看診。
4.自辦餐廳與伙食補助。
5.三節與生日禮券、結婚賀禮及生育、傷病補助。
6.員工國內、外旅遊補助。
7.特約室內體育館、特約游泳池、特約餐廳商店折扣。
8.各式圖書、期刊免費借閱。
9.子女獎助學金、在職進修學費補助。"
台灣良得電子股份有限公司,"1. 週休二日  
2. 享有健勞保,任職滿三個月後享有團保
3. 福委會定期舉辦各項活動及員工旅遊
4. 視公司年度營運狀況給予紅利/年終等"
富邦人壽保險股份有限公司_邦勁通訊處(林哲安)(核准文號110A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
龍偉實業股份有限公司,"1.國內旅遊，一年一次。    
2.國外旅遊，二年一次。    
3.差旅津貼、三節獎金/禮品、慶生、慰問、勞健保/團保。勞動節禮品
4.週休二日等規定比照政府機關辦理。/特休/年假
5.尾牙/摸彩"
愛妮雅化妝品_芸妮有限公司,"福利制度
其 　他：員工在職教育訓練、良好升遷制度
1.享勞保.健保.團保.6％提撥
2.完整的職前訓練及在職訓練 
3.員購優惠 
4.每年三、四次國內、外旅遊 
5.完整的獎金制度-任選保障底薪+高獎金制或佣金制，營業據點普及全省各地，任職服務地點可自由選擇 
6.公司營業計劃：至年底以前將擴編至300個據點，美容師擴編至1000人，此時加入經營團隊是最佳時機，晉升機會最快"
富邦人壽保險股份有限公司_富傳通訊處(張鴻佑)(核准文號109A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
國都汽車股份有限公司南松江分公司,"1.團保、退休金。 
2.年節慰勞。
3.婚喪喜慶補助。
4.教育補助。
5.文康活動。
6.急難救助。
7.健康檢查。"
新加坡商絲艾產品標識有限公司台灣分公司,"◆ 保險類
	1.勞保
	2.健保
	3.職災保險
◆ 休閒類
	1.部門聚餐
	2.慶生會
◆ 請 / 休假制度
	1.週休二日
	2.特休/年假
	3.陪產假
	4.不扣薪病假
	5.家庭照顧假
	6.女性同仁生理假
◆ 依照公司營運狀況與考核狀況發放績效獎金"
新萬盟有限公司,"◆ 獎金/禮品類
1.年終獎金
2.保障年薪13個月(外派人員)
3.年終尾牙聚餐
◆ 保險類
1.勞保
2.健保
3.員工團保
4.意外險
5.職災保險
◆ 請 / 休假制度
1.週休2日
2.特休/年假
◆ 請 / 休假制度(外派人員)
1.週休1日
2.返台機票3-4張/年
3.返台假期30天/年
4.返台交通費部分補助"
富邦人壽保險股份有限公司_高杆二通訊處(黃有祿)(核准文號110A01號),行銷專員(含)以上職級享：1.勞基法保障、健保、團保(員工本人公單保費由公司全額負擔)、休假制度、 各類行銷津貼、增員獎金、年終獎金、節慶獎金、業務競賽獎勵及其旅遊活動；2.富邦以照顧員工權益、 善盡社會責任為經營目標，提供員工產假天數優於法令規定、生育補助、0~6歲子女育兒補助等福利措施。
國泰人壽保險股份有限公司_專招震達通訊處,"【教育訓練】配合公司未來發展及個人職涯規劃，提供完善的在職教育訓練及國內外各項研習機會和進修課程！ 
【其他福利】
1. 勞、健保、員工福利團體保險、意外險。
2. 年終獎金、端午、中秋代金、婚喪禮金、生日禮物。
3. 子女教育補助費、登山健行、春秋二季旅遊。
4. 年終餐會補助、員工房貸優惠、國泰建設購屋優惠。
5. 社團活動、退休制度、完善的教育訓練、週休二日。"
AnyMind Group Limited_新加坡商艾雅思股份有限公司台灣分公司,"▲開放式的辦公環境，明亮舒適 
▲吃不完的餅乾零食，需要提神時也有膠囊咖啡任君飲用
▲彈性的工作時間，09:00~09:30上班；18:00~18:30下班，早點來就可以早點走，上班時間自己決定
▲每個月的慶生活動、team-building活動，還有不定期的員工聚餐
▲超優於勞基法的給薪年假，第一年就有14天假
▲一年一次的all-hands meeting，一起去曼谷上演醉後大丈夫"
立德電子股份有限公司,"◆績效導向的薪資
薪資+年終獎金、績效獎金、專案獎金、員工酬勞。

◆全方位的照顧保障
勞保/健保/勞工退休金足額提撥、團體醫療保險+癌症險、年度員工健康檢查。

◆福利措施
※員工信託持股補助、
※健身房、社團活動、
※年度國內/外旅遊補助、
※立德家庭日
※每年一次員工體檢
※婚喪/生育/住院津貼補助、
※生日禮金、定期部門聚餐、
※汽車停車位補助。

◆公司活動
年度運動會、Merry Christmas Family party、個人百K獎金賽、尾牙、內部英文比賽、立德好聲音、※定期舉辦運動競賽,鼓勵同仁「動，就對了！」、
電影欣賞、情人節活動、NBA總決賽週開放會議室邊看球賽邊辦公並提供早餐。

◆學習發展
提供內外部專業及管理訓練、內部英文會話課程、海內外工作輪調機會。"
中租控股_中租迪和股份有限公司,"一、薪資水準 
提供具市場競爭力的薪資，並視公司整體營運與個人績效表現來發放獎金，以具體落實獎酬與績效高度連結。
1. 固定月薪 
2. 春節節金(依職務規劃)
3. 端午節金 
4. 中秋節金 
5. 年終分紅獎金(依職務規劃) 
6. 變動獎金(依職務規劃)
7. 生日禮金
8. 年度調薪檢視

二、福利制度
●樂活生活：
   優於勞基法的休假制度
   員工旅遊補助
   熱門電影欣賞
   企業按摩師服務
   免費午餐/餐費供應
   生日/情人節/結婚紀念日禮物
   企業產品優惠

●關注健康：
   保險完善(勞/健保)
   員工及眷屬團保
   免費定期健康檢查
   專任護理師服務
   駐點醫師諮詢服務
   急難疾病醫療補助

●照護家庭：
   彈性工時制度
   婚喪生育補助
   子女教育獎助金
   父母醫療補助
   企業托育服務
   完善退休制度

●進修學習：
   EMBA進修補助
   外部訓練補助
   語言進修補助
   專業證照補助
   員工專屬圖書室

●社團活動：
   年度尾牙晚會
   企業家庭日
   多元社團活動
   自發公益活動
   休閒活動中心"
